t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
16.52045345,-0.47,0.54,9.53,-5.56,-2.81,26.88,3.75,14.38,-45.75,1,0.04,0.03,0.06,
16.84260607,-0.76,0.89,9.65,14.69,11.06,26.44,5.69,14,-45,0.99,0.05,0.05,0.13,
17.16884804,-0.86,1.91,9.23,8.31,6.75,26.44,11.56,8.5,-46.56,0.97,0.09,0.07,0.2,
17.49349618,-0.95,1.84,9.24,-14,5.38,25.06,14.19,6.56,-47.38,0.96,0.08,0.08,0.27,
17.82116103,-0.79,0.84,9.51,-16,-3.19,25.88,16.06,8.75,-45.38,0.94,0.04,0.06,0.34,
18.14422441,-0.61,0.66,9.67,2.19,2.56,26.31,16.38,8.56,-45.75,0.91,0.02,0.05,0.41,
18.47091436,-0.84,1.11,9.5,13.38,10.63,25.81,19,4.5,-44.19,0.88,0.04,0.08,0.47,
18.79589939,-0.81,1.92,9.15,3.13,3.5,26.06,21.69,-0.75,-45.38,0.84,0.06,0.1,0.53,
19.12203312,-0.9,1.51,9.38,-13.75,8.31,23.94,22.38,-3.25,-44.19,0.8,0.04,0.1,0.59,
19.44678164,-0.82,0.97,9.63,-11.88,-9.88,26.75,23.06,-3,-44.56,0.76,0.02,0.07,0.65,
19.77322793,-0.42,0.66,9.52,1.81,10.38,25.25,20.5,-5.19,-46.19,0.71,0.01,0.05,0.7,
20.10219526,-1.02,1.17,9.4,11.88,12.19,25.94,22.38,-9,-42.69,0.66,0,0.09,0.75,
20.42416143,-0.95,1.85,9.31,3.69,-4.44,27.56,22.75,-16,-42.19,0.6,0.02,0.11,0.79,
20.74871659,-0.61,1.6,9.32,-13.88,3.81,25.25,19.38,-17.5,-42.25,0.54,0.02,0.09,0.83,
21.07626414,-0.92,0.84,9.62,-13.5,12.81,23.69,18.25,-16.69,-43,0.48,-0.02,0.07,0.87,
21.40111089,-0.79,0.71,9.5,4.5,-11.5,27.75,17.5,-17.06,-43.5,0.42,-0.02,0.06,0.91,
21.72848797,-0.42,1.2,9.37,11.5,14.56,25,13.5,-21.25,-43,0.34,0,0.08,0.94,
22.05431223,-1.26,1.8,9.3,5.19,7,25.88,14.19,-25.25,-40.25,0.26,-0.03,0.12,0.96,
22.37903094,-0.63,1.82,9.4,-16.5,-3.81,26.56,10.06,-26.06,-39.75,0.17,-0.02,0.1,0.98,
22.7040236,-0.88,0.63,9.5,-16.06,9.75,24.25,6.75,-23.06,-44.19,0.1,-0.04,0.05,0.99,
23.03030849,-0.66,0.37,9.58,9.13,-3.69,27.19,3.75,-22.06,-43.38,0.01,-0.04,0.04,1,
23.35519004,-0.77,1.7,9.27,14.69,11,25.63,1.19,-25,-42.06,-0.06,-0.05,0.08,0.99,
23.68146443,-1.03,1.91,9.44,-2.56,4.06,26.56,-0.25,-28,-41.75,-0.14,-0.07,0.1,0.98,
24.0070827,-0.75,1.28,9.19,-17.38,1.63,25,-4.06,-25.69,-42.19,-0.21,-0.06,0.07,0.97,
24.33420897,-0.79,0.84,9.68,-11.56,10.81,23.63,-5.56,-19.75,-44.5,-0.28,-0.06,0.03,0.96,
24.65929294,-0.82,0.8,9.63,11.19,-14.69,27.44,-8.56,-18.69,-45.69,-0.35,-0.06,0.03,0.94,
24.98634505,-0.23,1.63,9.43,10,21.88,21.81,-12.19,-20.69,-42.88,-0.41,-0.06,0.07,0.91,
25.31130528,-1.41,1.86,9.26,-4.5,12.5,22.25,-9.25,-19.75,-44.5,-0.47,-0.12,0.05,0.87,
