t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
16.015974760055542,-0.65,-0.36,9.57,0.06,0.13,-0.06,-15.69,16.25,-2.56,1.00,-0.03,0.03,0.06
16.339910745620728,-0.67,-0.36,9.58,0.00,-0.06,-0.06,-15.25,15.88,-5.00,1.00,-0.03,0.03,0.06
16.666895389556885,-0.64,-0.35,9.60,0.00,-0.13,0.06,-15.69,16.25,-3.75,1.00,-0.03,0.03,0.06
16.991291046142578,-0.66,-0.36,9.61,0.00,-0.31,0.00,-16.00,15.88,-3.75,1.00,-0.03,0.03,0.06
17.318405389785767,-0.64,-0.37,9.59,-0.06,0.00,0.13,-15.25,16.69,-3.00,1.00,-0.03,0.03,0.06
17.6436026096344,-0.61,-0.37,9.61,0.06,-0.13,-0.06,-16.69,16.69,-1.88,1.00,-0.03,0.03,0.06
17.971086025238037,-0.63,-0.34,9.58,-0.06,-0.13,-0.06,-15.25,15.88,-3.75,1.00,-0.03,0.03,0.06
18.294687509536743,-0.65,-0.35,9.57,0.00,0.00,0.06,-15.69,17.00,-3.00,1.00,-0.03,0.03,0.06
18.621793031692505,-0.64,-0.36,9.57,0.00,-0.13,0.06,-15.69,16.25,-2.19,1.00,-0.03,0.03,0.06
18.946399450302124,-0.66,-0.35,9.59,0.00,0.00,-0.06,-16.00,15.19,-3.00,1.00,-0.03,0.03,0.06
19.27362036705017,-0.62,-0.35,9.60,0.00,-0.06,0.00,-16.38,16.69,-3.38,1.00,-0.03,0.03,0.06
19.59825038909912,-0.65,-0.36,9.57,-0.06,0.25,-0.06,-15.25,15.88,-4.19,1.00,-0.03,0.03,0.06
19.92567777633667,-0.66,-0.35,9.57,-0.06,-0.13,0.06,-15.25,17.00,-3.75,1.00,-0.03,0.03,0.06
20.250656366348267,-0.65,-0.33,9.60,0.00,0.25,0.00,-16.00,16.25,-3.75,1.00,-0.03,0.03,0.06
20.578278303146362,-0.65,-0.37,9.58,0.00,-0.13,0.13,-14.88,15.88,-4.19,1.00,-0.03,0.03,0.06
20.902448415756226,-0.67,-0.35,9.57,0.00,0.00,0.06,-15.25,15.88,-3.75,1.00,-0.03,0.03,0.06
21.229552507400513,-0.66,-0.34,9.60,0.00,0.19,0.06,-16.00,15.50,-3.75,1.00,-0.03,0.03,0.06
21.55388069152832,-0.65,-0.34,9.58,0.06,-0.06,0.00,-16.38,15.88,-3.75,1.00,-0.03,0.03,0.06
