t,Ax,Ay,Az,Wx,Wy,Wz,Bx,By,Bz,phi,theta,psi,Altitude
1821.2440013885498,80
1843.4693813323975,0,0,10,0,0,0,141,141,-68,0.00,0.00,0.79,118.91
1858.2055568695068,
1895.1170444488525,0,0,10,0,0,0,139,139,-67,0.00,0.00,0.79,118.73
1919.6088314056396,
1953.585147857666,0,0,10,0,0,0,144,146,-69,0.00,0.00,0.79,118.38
1966.2902355194092,
2013.317584991455,0,0,10,0,0,0,141,134,-70,0.00,0.00,0.76,119.08
2027.4395942687988,
2071.066379547119,0,0,10,0,0,0,139,134,-68,0.00,0.00,0.77,117.94
2089.84375,
2128.575086593628,0,0,10,0,0,0,141,144,-67,0.00,0.00,0.80,117.50
2152.438163757324,
2186.1941814422607,0,0,10,0,0,0,141,139,-67,0.00,0.00,0.78,118.29
2199.309825897217,
2244.370222091675,0,0,10,0,0,0,141,141,-66,0.00,0.00,0.79,118.46
2261.6090774536133,
2304.652690887451,0,0,10,0,0,0,141,139,-68,0.00,0.00,0.78,117.85
2324.678659439087,
2361.945152282715,0,0,10,0,0,0,141,149,-68,0.00,0.00,0.81,117.85
2387.4051570892334,
2419.236898422241,0,0,10,0,0,0,141,139,-68,0.00,0.00,0.78,118.64
2433.2404136657715,
2477.3190021514893,0,0,10,0,0,0,137,141,-67,0.00,0.00,0.80,118.55
2495.281934738159,
2534.2040061950684,0,0,10,0,0,0,139,144,-68,0.00,0.00,0.80,118.37
2558.248281478882,
2595.252513885498,0,0,10,0,0,0,137,141,-65,0.00,0.00,0.80,118.38
2620.7189559936523,
2652.799606323242,0,0,10,0,0,0,137,137,-68,0.00,0.00,0.79,118.20
2667.431116104126,
2710.2694511413574,0,0,10,0,0,0,139,137,-67,0.00,0.00,0.78,117.59
2730.73673248291,
2767.2953605651855,0,0,10,0,0,0,139,137,-68,0.00,0.00,0.78,118.55
2793.1485176086426,
2824.92733001709,0,0,10,0,0,0,137,144,-68,0.00,0.00,0.81,118.55
2838.453531265259,
2885.974884033203,0,0,10,0,0,0,141,141,-69,0.00,0.00,0.79,117.85
2900.491237640381,
2943.6087608337402,0,0,10,0,0,0,139,144,-68,0.00,0.00,0.80,117.85
2963.5393619537354,
3000.8716583251953,0,0,10,0,0,0,137,134,-68,0.00,0.00,0.77,117.94
3025.265693664551,
3058.171510696411,0,0,10,0,0,0,139,146,-69,0.00,0.00,0.81,118.64
3071.763515472412,
