t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
0.75533127784729,-0.80,1.40,9.41,-3.44,0.88,-2.00,20.38,-10.38,-41.75,-0.98,-0.07,-0.05,-0.19
1.080643892288208,-0.78,1.13,9.47,-3.44,0.06,-1.81,20.75,-9.69,-41.75,-0.98,-0.06,-0.05,-0.19
1.407407283782959,-0.77,1.11,9.47,3.13,-0.56,-1.38,20.75,-8.56,-42.50,-0.98,-0.06,-0.05,-0.18
1.7317454814910889,-0.78,1.36,9.41,4.00,-0.50,-1.31,21.19,-9.69,-40.19,-0.98,-0.07,-0.05,-0.18
2.0589656829833984,-0.81,1.43,9.39,-1.56,-1.19,-1.44,21.56,-10.38,-41.75,-0.98,-0.07,-0.05,-0.17
2.3835673332214355,-0.74,1.21,9.50,-4.00,0.13,-1.94,20.75,-9.25,-41.50,-0.98,-0.06,-0.05,-0.17
2.70961332321167,-0.78,1.08,9.43,1.25,1.19,-1.75,21.56,-8.25,-42.56,-0.98,-0.06,-0.05,-0.16
3.0349388122558594,-0.83,1.27,9.43,4.25,-1.38,-1.19,21.56,-8.88,-41.88,-0.98,-0.07,-0.05,-0.16
3.361828565597534,-0.77,1.41,9.44,0.56,-2.25,-1.13,20.38,-9.25,-41.88,-0.98,-0.07,-0.04,-0.15
3.685678482055664,-0.77,1.32,9.46,-3.69,2.31,-2.38,20.38,-9.00,-43.00,-0.99,-0.07,-0.04,-0.15
4.014357566833496,-0.78,1.11,9.45,-1.13,-1.56,-1.44,21.19,-8.25,-42.19,-0.99,-0.06,-0.05,-0.15
4.338921785354614,-0.74,1.16,9.46,3.63,0.56,-1.50,20.75,-7.88,-43.00,-0.99,-0.06,-0.04,-0.14
4.663527488708496,-0.82,1.38,9.43,2.88,-2.06,-1.19,21.19,-8.56,-41.50,-0.99,-0.07,-0.05,-0.14
4.988863229751587,-0.73,1.38,9.42,-2.75,-0.06,-1.75,20.38,-8.56,-42.25,-0.99,-0.07,-0.04,-0.13
5.315467834472656,-0.80,1.17,9.48,-3.31,0.38,-1.94,20.75,-8.25,-41.06,-0.99,-0.06,-0.05,-0.13
5.64066219329834,-0.72,1.11,9.50,2.44,-0.06,-1.50,20.38,-7.50,-43.75,-0.99,-0.06,-0.05,-0.12
5.9668145179748535,-0.83,1.34,9.44,3.88,-0.56,-1.44,20.38,-8.00,-42.25,-0.99,-0.07,-0.05,-0.12
6.292003631591797,-0.75,1.42,9.43,-1.19,-2.19,-1.38,20.06,-8.00,-42.56,-0.99,-0.08,-0.04,-0.11
6.624284744262695,-0.73,1.24,9.45,-3.75,2.19,-2.25,19.56,-7.56,-43.00,-0.99,-0.07,-0.04,-0.11
6.944823980331421,-0.82,1.11,9.48,0.56,-0.06,-1.69,20.25,-6.50,-43.38,-0.99,-0.06,-0.05,-0.10
7.276369571685791,-0.76,1.25,9.39,3.94,-2.38,-1.19,20.69,-6.50,-42.56,-0.99,-0.07,-0.04,-0.10
7.595619440078735,-0.80,1.37,9.44,0.69,1.50,-1.94,21.06,-7.56,-42.25,-0.99,-0.08,-0.04,-0.10
7.922226428985596,-0.80,1.33,9.42,-2.56,-2.31,-1.69,20.69,-7.56,-43.00,-0.99,-0.07,-0.04,-0.09
8.252583026885986,-0.72,1.15,9.44,-1.94,2.50,-2.19,20.69,-6.50,-43.38,-0.99,-0.06,-0.04,-0.09
8.572769403457642,-0.83,1.18,9.45,2.94,-1.13,-1.31,20.75,-6.06,-43.00,-0.99,-0.07,-0.05,-0.08
8.898086786270142,-0.72,1.37,9.40,2.63,-1.94,-1.31,20.38,-7.19,-42.25,-0.99,-0.08,-0.04,-0.08
