t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz
18117.04493,-0.67,-0.35,9.56,0.13,0.19,0.13,-7.75,33.25,-41.88,1,-0.02,0.04,0
18444.33999,-0.67,-0.33,9.57,-0.06,-0.19,-0.13,-8.06,33.25,-42.25,1,-0.02,0.04,0
18768.8961,-0.68,-0.34,9.59,0.13,0.13,0.06,-8.06,32.88,-42.69,1,-0.02,0.04,0
19096.28057,-0.67,-0.34,9.55,-0.06,-0.06,-0.13,-7.38,33.25,-41.88,1,-0.02,0.04,0
19420.91441,-0.69,-0.34,9.57,-0.06,-0.13,0.13,-8.06,33.25,-41.06,1,-0.02,0.04,0
19747.83444,-0.67,-0.37,9.58,-0.06,0.06,-0.06,-7,33.25,-42.69,1,-0.02,0.04,0
20072.75367,-0.7,-0.34,9.58,0,-0.06,0.13,-7.75,33.25,-41.88,1,-0.02,0.04,0
20398.75841,-0.67,-0.34,9.56,0,0.06,0.06,-7.38,32.56,-42.69,1,-0.02,0.04,0
20723.70934,-0.69,-0.34,9.55,0,-0.06,-0.06,-6.56,33.25,-41.88,1,-0.02,0.04,0
21050.97508,-0.69,-0.34,9.59,0,-0.13,-0.06,-6.56,33.25,-41.88,1,-0.02,0.04,0
21375.2389,-0.68,-0.34,9.59,-0.06,0,0.06,-7,32.56,-43.06,1,-0.02,0.04,0
21702.12317,-0.67,-0.36,9.56,0.06,0,0,-7.38,33.25,-40.75,1,-0.02,0.04,0
22026.4852,-0.67,-0.34,9.57,0,0.13,-0.06,-7.75,32.88,-41.88,1,-0.02,0.04,0
22353.2486,-0.67,-0.34,9.6,0,0,0,-7,33.25,-41.88,1,-0.02,0.04,0
22677.98996,-0.68,-0.35,9.59,0,0,0.06,-7.75,33.25,-41.88,1,-0.02,0.04,0
23004.83775,-0.68,-0.35,9.58,0.06,-0.13,0.06,-8.06,32.25,-43.06,1,-0.02,0.04,0
23329.68926,-0.66,-0.37,9.58,0.06,-0.25,-0.06,-8.06,32.88,-42.25,1,-0.02,0.04,0
23656.99792,-0.68,-0.35,9.61,0.06,0,-0.06,-7.75,33.25,-42.69,1,-0.02,0.04,0
23981.8902,-0.66,-0.34,9.57,-0.06,-0.13,0,-7.75,33.25,-43.06,1,-0.02,0.04,0
24308.27856,-0.67,-0.32,9.57,0,0.19,0,-7,33.25,-43.06,1,-0.02,0.04,0
24632.7343,-0.67,-0.36,9.56,0,-0.06,-0.06,-8.06,33.25,-41.06,1,-0.02,0.04,0
24960.07872,-0.67,-0.35,9.57,-0.06,0.06,0.06,-8.5,32.56,-43.06,1,-0.02,0.04,0
25284.78193,-0.67,-0.36,9.6,0.06,-0.19,0,-7,32.88,-42.25,1,-0.02,0.04,0
25611.39011,-0.7,-0.33,9.56,0.13,-0.06,0,-7,33.69,-41.06,1,-0.02,0.04,0
25936.60092,-0.67,-0.38,9.58,0.06,0.06,-0.06,-7.75,32.56,-41.88,1,-0.02,0.04,0
26263.45396,-0.68,-0.34,9.57,0.06,0,0.06,-7.38,33.25,-42.69,1,-0.02,0.04,0
26587.32152,-0.69,-0.38,9.55,0,-0.25,0,-7.38,33.69,-42.25,1,-0.02,0.04,0
26915.10105,-0.67,-0.34,9.6,0.06,0,-0.06,-6.56,32.56,-41.88,1,-0.02,0.04,0
27239.50791,-0.67,-0.35,9.55,-0.06,-0.06,0,-7.38,32.56,-41.88,1,-0.02,0.04,0
27566.78963,-0.67,-0.34,9.6,0,-0.19,0,-8.06,32.56,-42.25,1,-0.02,0.04,0
27891.80779,-0.67,-0.36,9.57,0,-0.13,0.06,-7.38,32.88,-41.88,1,-0.02,0.04,0
28219.09881,-0.68,-0.34,9.58,-0.06,-0.19,-0.06,-7,33.25,-43.38,1,-0.02,0.04,0
28544.11578,-0.67,-0.36,9.57,0,-0.06,-0.06,-7.75,33.25,-41.06,1,-0.02,0.04,0
28870.75448,-0.7,-0.36,9.57,-0.06,0,0.06,-8.06,33.25,-43.06,1,-0.02,0.04,0
29194.42201,-0.69,-0.34,9.56,-0.06,0.13,0.06,-7.38,32.88,-41.88,1,-0.02,0.04,0
29522.42422,-0.67,-0.35,9.57,0,-0.19,0.06,-7.75,32.88,-42.25,1,-0.02,0.04,0
29846.52162,-0.69,-0.35,9.57,0,0.06,-0.06,-7.75,32.88,-42.25,1,-0.02,0.04,0
30173.67458,-0.7,-0.35,9.54,0,-0.19,0.13,-7.38,33.25,-42.69,1,-0.02,0.04,0
30497.77746,-0.69,-0.36,9.6,-0.06,0.13,0.06,-7.38,32.88,-42.69,1,-0.02,0.04,0
30824.9886,-0.67,-0.34,9.54,0.06,-0.19,-0.06,-7,33.25,-41.5,1,-0.02,0.04,0
31149.25909,-0.67,-0.35,9.56,-0.13,0.13,-0.13,-7,32.88,-41.5,1,-0.02,0.04,0
31476.27139,-0.68,-0.34,9.58,0.06,-0.06,0.06,-7.75,33.25,-42.69,1,-0.02,0.04,0
31801.16773,-0.68,-0.35,9.57,0.06,0.13,0,-7.38,33.25,-41.5,1,-0.02,0.04,0
32127.84743,-0.68,-0.34,9.57,0.13,-0.06,0.06,-7,32.56,-42.25,1,-0.02,0.04,0
32452.74854,-0.69,-0.35,9.55,0.13,-0.19,0.13,-8.06,32.88,-42.25,1,-0.02,0.04,0
32779.63972,-0.68,-0.35,9.59,0,-0.06,-0.13,-7.38,32.88,-41.88,1,-0.02,0.04,0
33104.64072,-0.66,-0.36,9.6,0.06,-0.06,0.06,-7.38,32.88,-41.88,1,-0.02,0.04,0
33431.60415,-0.66,-0.37,9.59,-0.13,-0.25,0,-7.38,33.25,-43.06,1,-0.02,0.04,0
33756.92439,-0.67,-0.37,9.59,0.06,-0.13,0,-7.75,32.88,-41.88,1,-0.02,0.04,0
34082.59606,-0.68,-0.36,9.55,0,0.06,0,-8.06,33.25,-41.88,1,-0.02,0.04,0
34408.45776,-0.68,-0.35,9.59,-0.06,-0.13,-0.06,-7.38,33.25,-42.69,1,-0.02,0.04,0
34734.84159,-0.68,-0.34,9.58,0,-0.13,0,-7.38,33.25,-42.25,1,-0.02,0.04,0
35059.29518,-0.67,-0.36,9.57,0,0.19,0,-7.38,32.88,-41.06,1,-0.02,0.04,0
35387.06493,-0.68,-0.36,9.6,-0.06,-0.13,0.13,-7,32.88,-42.69,1,-0.02,0.04,0
35710.84023,-0.68,-0.36,9.6,0,0.25,0.06,-7.75,33.25,-42.25,1,-0.02,0.04,0
36038.16032,-0.67,-0.36,9.54,0,-0.06,0.06,-7.38,32.88,-42.25,1,-0.02,0.04,0
36362.67042,-0.7,-0.37,9.57,-0.06,-0.06,-0.06,-7.75,33.69,-41.88,1,-0.02,0.04,0
36690.03272,-0.66,-0.35,9.59,-0.13,-0.06,0.19,-7.38,33.69,-42.25,1,-0.02,0.04,0
37014.64295,-0.68,-0.37,9.58,-0.06,-0.19,0,-7.75,32.88,-41.5,1,-0.02,0.04,0
37341.67147,-0.67,-0.35,9.58,0.06,0.13,0.06,-7.75,32.56,-41.5,1,-0.02,0.04,0
37665.77625,-0.67,-0.35,9.58,0,-0.13,-0.19,-8.06,32.56,-41.06,1,-0.02,0.04,0
37993.35146,-0.67,-0.35,9.56,0,-0.25,-0.06,-8.06,33.25,-42.69,1,-0.02,0.04,0
38317.26956,-0.67,-0.36,9.59,-0.13,-0.25,0.06,-6.56,32.88,-42.25,1,-0.02,0.04,0
38644.10377,-0.68,-0.36,9.6,0.06,0,0,-7.75,32.88,-41.06,1,-0.02,0.04,0
38968.49394,-0.67,-0.35,9.59,-0.06,0.13,0.06,-7.38,33.25,-43.06,1,-0.02,0.04,0
39295.36438,-0.68,-0.35,9.56,0.06,-0.06,0.06,-7.38,32.88,-42.25,1,-0.02,0.04,0
39620.49127,-0.68,-0.33,9.59,0.06,-0.13,0.13,-8.06,33.69,-43.06,1,-0.02,0.04,0
39947.07775,-0.66,-0.33,9.57,0.19,-0.19,0.06,-7.38,33.25,-42.69,1,-0.02,0.04,0
40272.5606,-0.67,-0.35,9.58,0.06,0,0.06,-7,33.69,-42.25,1,-0.02,0.04,0
40598.82975,-0.69,-0.37,9.57,0,0,-0.13,-7.38,33.25,-43.06,1,-0.02,0.04,0
40923.64645,-0.69,-0.33,9.58,-0.06,-0.06,-0.13,-7.75,32.88,-42.25,1,-0.02,0.04,0
41251.21927,-0.67,-0.34,9.56,-0.06,-0.13,0,-8.06,33.25,-41.88,1,-0.02,0.04,0
41575.36054,-0.67,-0.34,9.56,-0.25,-0.31,-0.06,-7.38,33.25,-41.88,1,-0.02,0.04,0
41902.33302,-0.67,-0.34,9.58,0,-0.13,0.06,-6.56,32.88,-42.25,1,-0.02,0.04,0
42227.15712,-0.69,-0.35,9.59,0,0.06,-0.06,-7.38,32.56,-42.25,1,-0.02,0.04,0
